time,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Buffer 6,Buffer 7
0,386.3333333,313.6666667,377.3333333,205.3333333,343,374.8333333,401.6666667
6.116667,327.6666667,251,214.6666667,140.3333333,218,312,326.6666667
12.233334,303,237,130.6666667,136.3333333,206,264.5,291.6666667
18.350001,286,201,278,150.3333333,211,263,445.6666667
24.466668,276,231,666,181.3333333,228,286.5,944.6666667
30.583335,251.6666667,294.6666667,1229,220.3333333,245,303.5,1717.666667
36.700002,471.6666667,399.6666667,1978,273.3333333,270,340.8333333,2656.666667
42.816669,810.6666667,533.6666667,2895,328.3333333,302,340.8333333,3675.666667
48.933336,1301.666667,692.6666667,3934,381.3333333,329,387.8333333,4758.666667
55.050003,1943.666667,847.6666667,4933.333333,424.3333333,351,408.3333333,5860.666667
61.16667,2766.666667,1033.666667,5914.333333,496.3333333,401,432.3333333,7040.666667
67.283337,3655.666667,1191.666667,6864.333333,540.3333333,422,463.3333333,8223.666667
73.400004,4670.666667,1354.666667,7903.333333,588.3333333,452,484.3333333,9456.666667
79.516671,5736.666667,1491.666667,8982.333333,627.3333333,473,501.3333333,10684.66667
85.633338,6875.666667,1636.666667,10201.33333,686.3333333,509,520.8333333,11935.66667
91.750005,7974.666667,1740.666667,11454.33333,721.3333333,522,545.8333333,13094.66667
97.866672,9054.666667,1842.666667,12419,757.3333333,537,563.3333333,14170.66667
103.983339,10130.66667,1934.666667,13161,801.3333333,564,584.3333333,15213.66667
110.100006,11095.66667,2003.666667,13710,830.3333333,569,598.3333333,16040.66667
116.216673,12038.66667,2085.666667,14271,872.3333333,591,597.8333333,16848.66667
122.33334,12821.66667,2146.666667,14701,907.3333333,603,626.3333333,17488.66667
128.450007,13528.66667,2197.666667,15053,936.3333333,613,650.3333333,18027.66667
134.566674,14121.66667,2237.666667,15385,966.3333333,625,660.3333333,18476.66667
140.683341,14649.66667,2275.666667,15670,1002.333333,639,680.3333333,18920.66667
146.800008,15096.66667,2322.666667,15942,1040.333333,649,693.3333333,19299.66667
152.916675,15474.66667,2360.666667,16161,1066.333333,654,715.3333333,19621.66667
159.033342,15741.66667,2364.666667,16329,1091.333333,653,716.3333333,19821.66667
165.150009,16072.66667,2408.666667,16564,1126.333333,668,729.3333333,20160.66667
171.266676,16280.66667,2433.666667,16700,1149.333333,671,743.8333333,20379.66667
