time,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Buffer 6,Buffer 7
0,28186.25,24853.5,24995.5,26121,26114,25840,25137
6.116667,26325.75,24818.5,24614,24810,24444,25181,23480
12.233334,26809.75,25612.5,26363,26247.5,25790.5,27253,23915
18.350001,29121.75,27353,29591,29601.5,28381.5,30639.5,25559
24.466668,32248.25,29054,32469,32610.66667,31923,33976,28068
30.583335,36122.75,32489,36676.66667,35513,35785,38165,31516
36.700002,39910.75,35388,39273.66667,39186.66667,39676.5,41603,35242
42.816669,44207.75,38264.5,42855.66667,44172.5,43616.5,45421.5,39145
48.933336,49008.75,41249.5,46167.66667,48904.66667,48262,49060.5,43049
55.050003,53770.75,43206.5,49077.66667,52711.5,52321,51950,45828
61.16667,59232.75,46194.5,53541.66667,57662.5,57403.5,56409.5,49372
67.283337,64113.25,49467.5,57219,61060.5,61924,60056.5,51409
73.400004,68687.75,52232.5,57344,64861.5,65966,62321.5,53642
79.516671,72227.25,55532.5,62876.33333,67929.5,69190,62569.5,55367
85.633338,75585.75,59745.5,64034.33333,69016.5,70423.5,62770.75,56655
91.750005,77287.25,62477,65320.33333,70270.5,69694.5,64677.25,57846
97.866672,79098.25,61494,66141.33333,71029.5,68116.5,65869.25,59153.5
103.983339,79840.75,62617,66461.33333,70957.5,68273,65034.25,59942.5
110.100006,80539.25,63693,66876.33333,71729.5,68794.5,64850.75,60377.5
116.216673,80972.25,64359,67432.33333,72329.5,68498,63328.25,61061.5
122.33334,81995.5,64583,67799.66667,72791.66667,70211.5,60839.5,61589.5
128.450007,81995.5,64494.33333,67866.66667,72886.5,71684.5,61155.5,60511
134.566674,81995.5,64481.33333,67690.66667,72830.5,72446.5,61305,60430
140.683341,81995.5,64356.33333,67647.66667,73099.5,72415.5,61644,63867.5
146.800008,81995.5,64247.33333,67367.33333,73502.5,72590.5,61905,64086.5
152.916675,81995.5,63676.33333,66788.33333,73244.5,72338,61698.5,63383.5
159.033342,81995.5,63578.33333,66954.33333,73172.5,72245.5,61526,62920.5
165.150009,81995.5,63509.33333,66876.33333,72938.5,72018,61596,62401.5
171.266676,81995.5,63228.33333,66454.33333,73173.5,71592.5,61192.5,62177.5
177.383343,81995.5,62764,66259.33333,72915.5,71424,60995,61779.5
